State or other,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Federal (FLSA),5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...,...,...,...,...,...,...
Alaska,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84
Arizona,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5
Arkansas,6.25[c],æ6.25[c]æ,æ6.25[c]æ,6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],7.50[c],8.00[c],8.50[c],8.50[c]
California,7.5,8,8,8,8,8,8,9,9,10,10,11
Colorado,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2
Connecticut,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1
Delaware,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25
Florida,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1
Idaho,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,6.50[c],7.50[c],7.75[c],8.00[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],8.25[c]
Indiana,5.15(e),5.85(e),6.55(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...,...,...,...,...,...
Maine,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10
Maryland,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1
Massachusetts,7.5,8,8,8,8,8,8,8,9,10,11,11
Michigan,6.95(e),7.15(e),7.40(e),7.40(e),7.40(e),7.40(e),7.40(e),8.15(e),8.15(e),8.50(e),8.90(e),9.25(e)
Minnesota,5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),6.50-8.00(g),7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g)
Mississippi,...,...,...,...,...,...,...,...,...,...,...,...
Missouri,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85
Montana,4.00-6.15(g),4.00-6.25(g),4.00-6.90(g),4.00-7.25(g),4.00-7.35(g),4.00-7.65(g),4.00-7.80(g),7.90(g),8.05(g),8.05(g),8.15(g),8.30(g)
Nebraska,5.15[c],5.85[c],6.55[c]æ,7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],8.00[c],9.00[c],9.00[c],9.00[c]
Nevada,6.15,6.33,6.55-6.85,6.55-7.55,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6
New Mexico,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
New York,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8,8.75,9,9.7,10.4
North Carolina,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,6.85,7,7.3,7.3,7.4,7.7,7.85,7.25-7.95,7.25-8.10,7.25-8.10,8.15,8.3
Oklahoma,2.00-5.15(g),2.00-5.85(g),2.00-6.55(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75
Pennsylvania,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8,9,9.6,9.6,10.1
South Carolina,...,...,...,...,...,...,...,...,...,...,...,...
South Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65,8.85
Tennessee,...,...,...,...,...,...,...,...,...,...,...,...
Texas,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,7.53(e)æ,7.68(e),8.06(e),8.06(e),8.15(e),8.46(e),8.60(e),8.73(e),9.15(e),9.60(e),10.00(e),10.50(e)
Virginia,5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11,11.5
West Virginia,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8,8.75,8.75,8.75
Wisconsin,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,7,7,7.55æ,8.25æ,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25
Guam,5.15,5.85,5.85,7.25,7.25,7.25,7.25,7.25,8.25,8.25,8.25,8.25
Puerto Rico,3.61-5.15(i),3.61-5.15(i),4.10(i),5.08 _ 7.25 (i2),5.08 _ 7.25 (i2),5.08 _ 7.25 (i2),5.08 _ 7.25 (i2),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,"4.30-6.15(g,j)",4.30-6.15(j),4.30-6.15(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j)